Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
04/21/2017,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,A charge was made by a company making false claims for a product and also added an additional product not purchased. The bank will not honor my dispute and is charging me absurd late fees on balance not paid.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NH,03061,Older American,Consent provided,Web,04/21/2017,Closed with monetary relief,Yes,No,2446820
04/21/2017,Debt collection,Credit card,Taking/threatening an illegal action,Attempted to/Collected exempt funds,This debt is beyond the Maryland Statute of Limitations. It is illegal for a debt collector to collect on an expired debt. They have taken illegal action by seizing my Maryland State Refund when the debt had already expired and beyond the Statute of Limitation which is 3 years in the state of Maryland,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Army and Air Force Exchange Service,MD,211XX,Servicemember,Consent provided,Web,04/21/2017,Closed with explanation,Yes,No,2447164
04/20/2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,"My personal belongings and vehicle were stolen from  XXXX =My locker was broken into which the police said it was probably an inside job=they would not let me see the camera 's to see who got into my car=several people has articles stolen different day.s. I owe {$23.00} for  7 mo . as this happened on  XXXX ,  XXXX  which I lost {$3000.00} on my car plus another to get another one- I talked to them-filed a police report and now they asking for {$300.00} and some dollars. Way above what I owe. I think they are targeting senior citizen as now I 'm afraid to go there and they wo n't. cancel the contract.",Company believes it acted appropriately as authorized by contract or law,"Nevada Credico, Inc.",NV,890XX,Older American,Consent provided,Web,04/20/2017,Closed with explanation,Yes,No,2445095
04/19/2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,I have never received medical care at this facility.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"I.C. System, Inc.",CA,921XX,Servicemember,Consent provided,Web,04/19/2017,Closed with explanation,Yes,No,2442145
04/19/2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"I was taken to the hospital while   XXXX   XXXX   XXXX   XXXX   XXXX    XXXX   XXXX   XXXX . The bills are essentially workman 's compensation injuries. The state has neglected to resolve this issue in a timely manner, and I am still in the process of having them take care of the bill. Please contact my liaison  XXXX   XXXX  at  XXXX  XXXX  XXXX  or  XXXX",Company believes it acted appropriately as authorized by contract or law,"GOLD KEY CREDIT, INC.",IN,479XX,Servicemember,Consent provided,Web,04/19/2017,Closed with non-monetary relief,Yes,No,2441597
04/19/2017,Debt collection,Credit card,Communication tactics,Threatened to take legal action,"I was contacted about a judgement from   XXXX   whic h Javitch Block got r eactivated. I understand that they are allowed to do this. I came to a payment arrangement of {$200.00} per month for which they refuse to provide statements or billings The payments are due the  XXXX  of the month. I paid late this month on the  XXXX  and attempted for several days to call and discuss ( after submitting the payment ) with no response. You get in the phone queue and are  XXXX  in line, you count down to  XXXX  or  XXXX  and are then put into a voice mail that is full and you can not leave a message. This is after  2 hou rs on the waiting line. I did submt an online payment. They did not take the payment I submitted and have a confirmation number for I have sent a fax asking for contact, I have sent several messges. I have been in endless loops trying to speak to someone. I called and spoke witth an operator who immediately put me into a recording without listening to me. Currently am in a loop that tells you there is n o one av ailable to assist, your call will be returned in the order receied, you are advised to leave a message but then put into a voice mail that can not take a message. Please try it :  XXXX . I do n't know what to do about them.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Javitch, Block & Rathbone LLC",OH,441XX,Servicemember,Consent provided,Web,04/27/2017,Closed with explanation,Yes,No,2441485
04/19/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Threatened to take legal action,"This complaint is necessary to ensure the recovery of a collection firm 's fee s (  excessive relative to the small size of the note ) are not the determining factor in a foreclosure sale currently set for  XXXX   XXXX . Consideration of that issue is requested relative to mortgage complaint #  XXXX , as well as directly related complaints #  XXXX  and #  XXXX  on the issues that precipitated the collection action.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MORGAN STANLEY & CO. LLC,TN,374XX,Servicemember,Consent provided,Web,04/19/2017,Closed with explanation,Yes,No,2442844
04/19/2017,Debt collection,Auto,Taking/threatening an illegal action,Seized/Attempted to seize property,"XXXX  repossessed my car without notification ... I wa s 30 mile s from home on a cane, in a handicapped spot with handicapped plates. I was very late getting home ... almost did n't get home.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Altisource Portfolio Solutions, S.à r.l.",AZ,853XX,"Older American, Servicemember",Consent provided,Web,04/20/2017,Closed with explanation,Yes,No,2443017
04/18/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,"I was trying to contact  XXXX  about an approval for repayment plan, I dialed the number on the invoice  XXXX  and was directed to th e Student Loan Help Center. Aft er about a half hour of talking I found myself agreeing to a consolidation of  XXXX  student loans with {$0.00} monthly payments and forgiveness of all loans after 20 years ' all based on my annual income. In addition  XXXX   XXXX  explained to me that there was a {$790.00} fee to cover enrollment fee and the legal process to consolidate into  XXXX  loan. Later that night I read the document they sent for signature, signed electronically, authorizing the fee to be deducted from my account and finished. Shortly after I read on dept of education that there should be no fees incurred for student loan help or consolidation. I tried calling  XXXX  to leave a message to cancel and the call was answered by a general phone line and I was unable to leave a message. I did send an email to their support center and will request a refund in the morning. The funds were withdrawn as soon as I hit Finish. Please advise if this is a scam and how I can get my money back",Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Brelvis Consulting, LLC",CA,906XX,Older American,Consent provided,Web,04/18/2017,Closed with monetary relief,Yes,No,2439401
04/18/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,I added an account I had with  XXXX   XXXX   XXXX  in my chapter  XXXX  bankruptcy but they still sent account to a collections agency named  Monterey Financial based in California. Monterey Financial  contacted me several times to collect the debt even after they received paperwork stating that account was included in bankruptcy. My attorney sent them paperwork and they still sent the account to collections which is affecting my credit report since they were not supposed to have the account in the first place.,Company believes it acted appropriately as authorized by contract or law,Monterey Financial Services LLC,VA,235XX,Servicemember,Consent provided,Web,04/18/2017,Closed with explanation,Yes,No,2440945
